frequency,forward,reverse,rho,swr
14.00,2243.0000,1210.0000,0.7345,6.5323
14.00,2270.0000,1229.0000,0.7358,6.5702
14.01,2262.0000,1238.0000,0.7398,6.6864
14.01,2321.0000,1251.0000,0.7342,6.5233
14.01,2278.0000,1273.0000,0.7475,6.9222
14.02,2160.0000,1190.0000,0.7422,6.7593
14.02,2108.0000,1148.0000,0.7380,6.6326
14.03,2174.0000,1164.0000,0.7317,6.4550
14.03,2156.0000,1173.0000,0.7376,6.6221
14.03,2193.0000,1203.0000,0.7407,6.7116
14.04,2164.0000,1177.0000,0.7375,6.6189
14.04,2064.0000,1126.0000,0.7386,6.6514
14.04,2084.0000,1148.0000,0.7422,6.7580
14.05,2028.0000,1109.0000,0.7395,6.6772
14.05,2106.0000,1164.0000,0.7434,6.7955
14.05,2131.0000,1179.0000,0.7438,6.8069
14.06,2140.0000,1159.0000,0.7359,6.5737
14.06,2142.0000,1163.0000,0.7369,6.6003
14.07,2176.0000,1195.0000,0.7411,6.7239
14.07,2166.0000,1201.0000,0.7446,6.8319
14.07,2121.0000,1155.0000,0.7379,6.6318
14.08,2110.0000,1151.0000,0.7386,6.6505
14.08,1980.0000,1078.0000,0.7379,6.6297
14.08,1957.0000,1065.0000,0.7377,6.6248
14.09,2170.0000,1165.0000,0.7327,6.4826
14.09,2201.0000,1211.0000,0.7418,6.7447
14.09,2132.0000,1176.0000,0.7427,6.7729
14.10,2076.0000,1136.0000,0.7397,6.6844
14.10,2069.0000,1136.0000,0.7410,6.7215
14.11,2094.0000,1136.0000,0.7365,6.5915
14.11,2123.0000,1157.0000,0.7382,6.6403
14.11,2134.0000,1166.0000,0.7392,6.6682
14.12,2115.0000,1175.0000,0.7454,6.8541
14.12,2139.0000,1154.0000,0.7345,6.5332
14.12,2116.0000,1150.0000,0.7372,6.6106
14.13,2206.0000,1193.0000,0.7354,6.5583
14.13,2217.0000,1200.0000,0.7357,6.5675
14.13,2223.0000,1210.0000,0.7378,6.6270
14.14,2207.0000,1204.0000,0.7386,6.6512
14.14,2296.0000,1256.0000,0.7396,6.6811
14.15,2320.0000,1282.0000,0.7434,6.7931
14.15,2346.0000,1292.0000,0.7421,6.7552
14.15,2340.0000,1292.0000,0.7431,6.7839
14.16,2349.0000,1277.0000,0.7373,6.6137
14.16,2348.0000,1289.0000,0.7409,6.7199
14.16,2355.0000,1292.0000,0.7407,6.7127
14.17,2355.0000,1288.0000,0.7395,6.6788
14.17,2354.0000,1299.0000,0.7429,6.7776
14.17,2357.0000,1279.0000,0.7366,6.5942
14.18,2354.0000,1284.0000,0.7385,6.6496
14.18,2354.0000,1293.0000,0.7411,6.7260
14.19,2327.0000,1291.0000,0.7448,6.8383
14.19,2354.0000,1305.0000,0.7446,6.8297
14.19,2351.0000,1285.0000,0.7393,6.6719
14.20,2352.0000,1282.0000,0.7383,6.6420
14.20,2364.0000,1296.0000,0.7404,6.7048
14.20,2371.0000,1295.0000,0.7390,6.6641
14.21,2370.0000,1307.0000,0.7426,6.7705
14.21,2359.0000,1305.0000,0.7438,6.8056
14.22,2368.0000,1336.0000,0.7511,7.0362
14.22,2385.0000,1324.0000,0.7451,6.8454
14.22,2383.0000,1309.0000,0.7412,6.7266
14.23,2369.0000,1311.0000,0.7439,6.8097
14.23,2373.0000,1318.0000,0.7453,6.8512
14.23,2387.0000,1313.0000,0.7417,6.7418
14.24,2367.0000,1317.0000,0.7459,6.8716
14.24,2372.0000,1308.0000,0.7426,6.7696
14.24,2378.0000,1291.0000,0.7368,6.5992
14.25,2378.0000,1311.0000,0.7425,6.7669
14.25,2389.0000,1309.0000,0.7402,6.6989
14.26,2386.0000,1307.0000,0.7401,6.6959
14.26,2377.0000,1300.0000,0.7395,6.6785
14.26,2372.0000,1310.0000,0.7432,6.7867
14.27,2383.0000,1297.0000,0.7377,6.6262
14.27,2372.0000,1300.0000,0.7403,6.7015
14.27,2374.0000,1315.0000,0.7443,6.8203
14.28,2379.0000,1304.0000,0.7404,6.7029
14.28,2375.0000,1313.0000,0.7435,6.7983
14.28,2379.0000,1326.0000,0.7466,6.8919
14.29,2381.0000,1318.0000,0.7440,6.8128
14.29,2388.0000,1325.0000,0.7449,6.8397
14.30,2381.0000,1316.0000,0.7434,6.7956
14.30,2390.0000,1313.0000,0.7412,6.7279
14.30,2368.0000,1320.0000,0.7466,6.8931
14.31,2383.0000,1304.0000,0.7397,6.6845
14.31,2381.0000,1297.0000,0.7381,6.6353
14.31,2388.0000,1303.0000,0.7387,6.6534
14.32,2384.0000,1328.0000,0.7464,6.8851
14.32,2394.0000,1303.0000,0.7378,6.6264
14.32,2377.0000,1329.0000,0.7477,6.9282
14.33,2398.0000,1314.0000,0.7402,6.6994
14.33,2378.0000,1318.0000,0.7445,6.8271
14.34,2390.0000,1311.0000,0.7406,6.7110
14.34,2386.0000,1327.0000,0.7458,6.8666
14.34,2385.0000,1311.0000,0.7414,6.7342
14.35,2380.0000,1326.0000,0.7464,6.8871
14.35,2376.0000,1321.0000,0.7456,6.8628
